                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6711,                   3.76,                 4.1838,                0.00258,                0.33606,                0.02114,                0.00586,                  3.937,                 3.9671,                 4.1403,             0.00051677,             0.00051677,             0.00051677
                      1,                 3.3727,                 3.1509,                 3.7707,                0.00247,                0.34165,                0.02423,                0.00725,                 3.7454,                 3.8908,                  4.046,              0.0010294,              0.0010294,              0.0010294
                      2,                 3.1518,                 2.9246,                 3.2831,                0.52027,                0.12896,                0.01949,                0.00508,                 3.3385,                 3.9364,                 3.7136,              0.0015209,              0.0015209,              0.0015209
                      3,                 3.0632,                 2.8097,                 3.0268,                0.11851,                0.28398,                0.05446,                0.01468,                 3.1107,                 3.3136,                 3.1102,               0.001568,               0.001568,               0.001568
                      4,                 2.9373,                 2.6401,                 2.8266,                0.04539,                0.11289,                0.03124,                 0.0094,                 3.2116,                 4.5666,                 3.3317,               0.001568,               0.001568,               0.001568
                      5,                 2.8072,                 2.5172,                 2.6729,                 0.1629,                0.23552,                0.10448,                0.03039,                 2.7727,                 2.5233,                 2.6059,               0.001535,               0.001535,               0.001535
                      6,                 2.7096,                 2.4115,                 2.5556,                0.22079,                0.22452,                0.14461,                0.04548,                 2.6373,                 2.4699,                 2.3992,               0.001502,               0.001502,               0.001502
                      7,                 2.6288,                 2.3735,                 2.4643,                0.18953,                0.28784,                0.14234,                0.04443,                 2.5983,                 2.3422,                 2.3468,               0.001469,               0.001469,               0.001469
                      8,                 2.5792,                 2.3115,                 2.3951,                0.26908,                0.30671,                0.19826,                0.05756,                 2.5525,                 2.2774,                 2.2765,               0.001436,               0.001436,               0.001436
                      9,                 2.4726,                 2.1862,                 2.3049,                0.18042,                0.30112,                0.15649,                0.05027,                 2.5084,                 2.3848,                 2.3001,              0.0014029,              0.0014029,              0.0014029
                     10,                 2.4746,                 2.1713,                 2.2736,                0.29689,                0.32288,                0.22665,                0.07676,                 2.4132,                 2.1717,                 2.1735,              0.0013699,              0.0013699,              0.0013699
